,ranking,points,tournamentsPlayed,movement,rankedAt,player.id,player.firstName,player.lastName,player.fullName,player.countryCode,player.dateOfBirth,player.metadata
23,124,591,26,-2,2023-07-03T00:00:00Z,317065,Su Jeong,Jang,Su Jeong Jang,KOR,1995-03-13,
24,125,590,26,-2,2023-07-03T00:00:00Z,327391,Katie,Volynets,Katie Volynets,USA,2001-12-31,
25,126,584,29,-2,2023-07-03T00:00:00Z,321106,Dalma,Galfi,Dalma Galfi,HUN,1998-08-13,
26,127,584,28,-2,2023-07-03T00:00:00Z,320238,Nao,Hibino,Nao Hibino,JPN,1994-11-28,
27,128,582,25,-2,2023-07-03T00:00:00Z,320942,Sofia,Kenin,Sofia Kenin,USA,1998-11-14,
28,129,582,28,-2,2023-07-03T00:00:00Z,322277,Viktoria,Hruncakova,Viktoria Hruncakova,SVK,1998-05-11,
29,130,556,30,0,2023-07-03T00:00:00Z,319421,Jessika,Ponchet,Jessika Ponchet,FRA,1996-09-26,
30,131,551,31,0,2023-07-03T00:00:00Z,324128,Marina,Bassols Ribera,Marina Bassols Ribera,ESP,1999-12-13,
31,132,548,14,0,2023-07-03T00:00:00Z,328366,Emma,Raducanu,Emma Raducanu,GBR,2002-11-13,
32,133,541,28,0,2023-07-03T00:00:00Z,320319,Jaqueline ,Cristian,Jaqueline  Cristian,ROU,1998-06-05,
33,134,536,33,0,2023-07-03T00:00:00Z,317155,Laura,Pigossi,Laura Pigossi,BRA,1994-08-02,
34,135,534,27,7,2023-07-03T00:00:00Z,319489,Harriet,Dart,Harriet Dart,GBR,1996-07-28,
35,136,527,23,-1,2023-07-03T00:00:00Z,323007,Mirjam,Bjorklund,Mirjam Bjorklund,SWE,1998-07-29,
36,137,519,24,-1,2023-07-03T00:00:00Z,326653,Olivia,Gadecki,Olivia Gadecki,AUS,2002-04-24,
37,138,517,16,-1,2023-07-03T00:00:00Z,331545,Brenda,Fruhvirtova,Brenda Fruhvirtova,CZE,2007-04-02,
38,139,511,21,-1,2023-07-03T00:00:00Z,316296,Viktorija,Golubic,Viktorija Golubic,SUI,1992-10-16,
39,140,503,23,-1,2023-07-03T00:00:00Z,316464,Emina,Bektas,Emina Bektas,USA,1993-03-30,
40,141,502,16,-1,2023-07-03T00:00:00Z,312850,Alison,Riske-Amritraj,Alison Riske-Amritraj,USA,1990-07-03,
41,142,498,30,-1,2023-07-03T00:00:00Z,322638,Maria,Carle,Maria Carle,ARG,2000-02-10,
42,143,491,24,0,2023-07-03T00:00:00Z,320313,Leolia,Jeanjean,Leolia Jeanjean,FRA,1995-08-14,
43,144,488,21,5,2023-07-03T00:00:00Z,316981,Heather,Watson,Heather Watson,GBR,1992-05-19,
